name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Andover MA,2020-09-25T20:00:00,60.1,60.1,55.2,83.91,0,,,0,0,,5.3,68,1020.5,2.7,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T21:00:00,57.3,57.3,55.3,92.79,0,,,0,0,,4.2,41,1020.7,9.7,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T22:00:00,58,58,56.2,93.66,0,,,0,0,,0.5,19,1020.6,9.7,9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T23:00:00,57.1,57.1,55.4,93.91,0,,,0,0,,0,0,1020.6,34,9.1,,,0,,Partially cloudy,partly-cloudy-night,"KLWM,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T00:00:00,56.8,56.8,56.7,99.45,0,,,0,0,,0.2,356,1020.6,45.9,0.3,,,0,,Partially cloudy,fog,"KLWM,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T01:00:00,56.8,56.8,55.8,96.46,0,,,0,0,,2.8,18,1020.6,88.5,7.7,,,0,,Partially cloudy,partly-cloudy-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T02:00:00,56.7,56.7,55.8,96.8,0,,,0,0,,0.3,356,1020.8,44.4,0.5,,,0,,Partially cloudy,fog,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T03:00:00,56.6,56.6,55.7,96.61,0,,,0,0,,0.3,360,1020.7,50.7,0.7,,,0,,Partially cloudy,fog,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T04:00:00,56.6,56.6,55.8,97.1,0,,,0,0,,0,0,1020.3,51,0.4,,,0,,Partially cloudy,fog,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T05:00:00,56.7,56.7,56.7,99.78,0,,,0,0,,0.3,343,1020.7,47.6,0,,,0,,Partially cloudy,partly-cloudy-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
